"","Loop","fWAR","WAR_1","WAR_2","WAR_3"
"63",63,0.270875770477625,0.52219321240101,0.278555366543723,0.278209282456153
"64",64,0.29781958741168,0.29581510079302,0.363594222096796,0.363379211081487
"65",65,0.302784997105376,0.213690418330508,0.365413302988805,0.365303577753386
"66",66,0.318119438669426,0.253560498495219,0.3285383772962,0.328539463991249
"67",67,0.340881583365102,0.261375026312635,0.347774569707111,0.347471806708142
"68",68,0.270859165428319,0.42284746810561,0.302469879540495,0.302076220857316
"69",69,0.13656164006335,0.154734416008153,0.161735287353528,0.161731866758995
"70",70,0.311886861514852,0.0915274571455302,0.37802881450852,0.377884911339365
"71",71,0.328282839671754,0.236413448565527,0.544635960170957,0.543359545991538
"72",72,0.239250121054836,0.42867457263637,0.333446371932556,0.332367991666968
"73",73,0.305270996177268,0.36173813539933,0.295920559925116,0.295774027048802
"74",74,0.270311066820018,0.509627623670718,0.250856052981128,0.250592306277046
"75",75,0.405362010453554,0.294829025334335,0.450063155909144,0.449653849570043
"76",76,0.378540598810413,0.236430880532603,0.410578956142271,0.410513953586127
"77",77,0.195404122124712,0.579630368461344,0.292710061972928,0.290960721537138
"78",78,0.226453946080174,0.120157968067441,0.258846880515958,0.258862128728298
"79",79,0.236088890533852,0.231072561818016,0.256780175004167,0.256688991889105
"80",80,0.139823703620549,0.406728871851498,0.182819788452053,0.182669371786129
"81",81,0.293180864558911,0.299790200063467,0.433825192372271,0.433119821479788
"82",82,0.212515022037467,0.515756209814645,0.195619125877179,0.195036224992219
"83",83,0.512345841609576,0.288552408039224,0.552061975417998,0.551917365690649
"84",84,0.0927844400536453,1.19062463845955,0.142982187788689,0.141094550685199
"85",85,0.358966125143373,0.233766892246283,0.372975251224115,0.372431578295547
"86",86,0.174444857368376,0.679236064112997,0.235026406657803,0.233636101754058
"87",87,0.237375607187064,0.114907534333895,0.278101558377273,0.278114087537967
"88",88,0.0347509136201382,1.40582595812491,0.022573160726612,0.0222161939591634
"89",89,0.309009219393735,0.419208887351839,0.299782304185862,0.299684564900066
"90",90,0.274372035005678,0.277635553122407,0.33026707862952,0.33023628230151
"91",91,0.302656438096957,0.257064482941743,0.397019266202904,0.396823740487917
"92",92,0.237233250009735,0.333036164909496,0.297401102902676,0.297169332025527
